CD_SETOR,V06001,V06002,V06003,V06004,V06005
314330205000217,"285,00","826,00","2,28","2.035,52","1.897.944,81"
314330205000218,"147,00","517,00","3,54","1.145,02","337.858,93"
314330205000219,"309,00","889,00","2,27","1.513,14","1.700.280,37"
314330205000220,"195,00","630,00","2,45","1.861,32","4.808.964,52"
314330205000221,"298,00","899,00","1,50","3.100,74","9.270.115,03"
314330205000222,"224,00","662,00","1,44","3.402,19","11.118.036,27"
314330205000223,"240,00","684,00","2,01","2.446,97","3.944.322,07"
314330205000225,"333,00","955,00","2,01","2.195,82","7.002.149,29"
314330205000226,"294,00","797,00","1,71","2.800,13","9.199.758,69"
314330205000227,"271,00","688,00","1,86","2.303,02","3.778.761,71"
314330205000228,"233,00","646,00","1,95","1.911,34","2.389.489,14"
314330205000229,"247,00","744,00","2,01","2.250,21","6.446.234,27"
314330205000230,"279,00","795,00","1,94","1.505,80","735.550,14"
314330205000231,"285,00","859,00","2,46","1.467,83","1.270.743,16"
314330205000232,"101,00","320,00","2,36","1.282,54","477.250,62"
314330205000233,"209,00","630,00","1,90","1.685,70","1.537.276,42"
314330205000234,"235,00","687,00","2,37","1.796,00","3.393.567,97"
314330205000236,"226,00","702,00","2,34","1.744,60","4.729.629,46"
314330205000237,"303,00","893,00","1,86","1.918,62","3.125.775,56"
314330205000238,"295,00","847,00","1,77","1.823,60","983.120,25"
314330205000239,"192,00","493,00","1,48","2.123,57","2.327.431,77"
314330205000240,"188,00","521,00","1,89","1.885,44","3.275.470,71"
314330205000241,"110,00","288,00","2,44","1.345,70","369.504,86"
314330205000242,"170,00","506,00","2,61","1.512,91","1.731.719,55"
314330205000243,"233,00","602,00","1,80","2.804,92","24.867.516,54"
314330205000244,"274,00","811,00","1,88","2.128,03","3.130.197,65"
314330205000246,"130,00","436,00","2,52","1.324,27","828.299,56"
314330205000247,"164,00","449,00","1,57","5.179,47","20.828.632,12"
314330205000248,"263,00","682,00","1,47","4.968,71","24.521.808,50"
314330205000250,"191,00","618,00","2,63","1.523,28","727.736,67"
314330205000253,"282,00","845,00","1,88","1.762,11","2.284.628,73"
314330205000254,"193,00","547,00","2,45","1.231,55","340.161,83"
314330205000256,"232,00","648,00","1,88","1.653,98","841.129,08"
314330205000257,"234,00","699,00","1,85","2.166,26","5.320.512,20"
314330205000258,"247,00","707,00","1,98","1.951,42","2.267.957,26"
314330205000259,"253,00","721,00","1,76","1.887,18","2.710.551,08"
314330205000260,"208,00","611,00","1,88","1.814,07","1.758.934,92"
314330205000261,"290,00","882,00","1,81","1.628,15","1.147.708,87"
314330205000263,"284,00","836,00","1,98","1.903,75","2.402.465,37"
314330205000264,"283,00","851,00","1,59","2.213,02","2.915.000,02"
314330205000265,"158,00","483,00","1,66","1.968,13","1.575.391,56"
314330205000266,"178,00","526,00","1,81","2.167,94","5.801.074,21"
314330205000267,"219,00","669,00","2,91","1.347,43","357.963,37"
314330205000268,"205,00","599,00","2,00","1.345,35","465.269,42"
314330205000269,"30,00","108,00","3,56","1.916,78","818.634,64"
314330205000270,"277,00","799,00","2,23","2.220,24","4.800.947,91"
314330205000271,"77,00","211,00","1,77","8.243,48","3.587.191.565,09"
314330205000272,"115,00","305,00","2,02","2.060,73","7.610.523,39"
314330205000273,"267,00","880,00","3,09","1.404,93","533.795,47"
314330205000276,"115,00","281,00","1,71","1.397,01","573.952,24"
314330205000279,"40,00","111,00","1,87","2.297,42","15.702.185,71"
314330205000281,"60,00","130,00","1,36","1.638,51","1.966.076,77"
314330205000282,"58,00","149,00","1,20","1.697,61","3.934.979,35"
314330205000284,"131,00","373,00","2,07","1.808,46","2.072.683,82"
314330205000285,"26,00","61,00","2,32","1.558,42","535.556,01"
314330205000286,"51,00","107,00","1,09","1.875,96","1.120.621,47"
314330205000287,"75,00","189,00","1,60","1.638,28","3.069.158,57"
314330205000288,"40,00","92,00","1,55","1.330,79","724.510,96"
314330205000289,"61,00","132,00","1,37","1.386,97","455.707,47"
314330205000290,"166,00","488,00","2,83","1.561,60","560.063,68"
314330205000291,"86,00","284,00","2,54","1.220,88","788.346,88"
314330205000292,"283,00","885,00","2,27","2.044,18","1.047.360,96"
314330205000293,"277,00","833,00","1,67","3.745,68","24.010.171,97"
314330205000295,"215,00","651,00","2,17","3.066,87","42.928.954,86"
314330205000296,"106,00","322,00","1,60","7.158,96","50.643.845,70"
314330205000297,"93,00","194,00","1,34","2.696,59","9.807.286,57"
314330205000298,"109,00","296,00","1,34","6.935,34","72.455.271,13"
314330205000299,"118,00","334,00","1,46","13.037,46","135.301.206,05"
314330205000302,X,X,X,X,X
314330205000305,"239,00","652,00","1,96","2.486,61","4.605.452,87"
314330205000306,"357,00","1.080,00","2,26","2.044,09","12.240.681,96"
314330205000307,"228,00","627,00","2,05","2.242,93","8.184.857,17"
314330205000308,"323,00","907,00","1,86","3.074,91","11.060.058,31"
314330205000309,"164,00","490,00","1,93","2.104,57","3.795.846,26"
314330205000310,"264,00","751,00","1,84","2.640,57","5.958.218,25"
314330205000314,"254,00","790,00","2,16","1.314,88","611.754,47"
314330205000315,"180,00","537,00","1,85","1.242,38","118.597,92"
314330205000317,"96,00","301,00","2,31","1.362,91","331.796,50"
314330205000319,"185,00","532,00","1,87","1.433,46","740.292,80"
314330205000321,"259,00","679,00","1,79","1.551,42","926.699,76"
314330205000323,"132,00","428,00","3,02","1.503,11","2.797.127,15"
314330205000324,"213,00","603,00","2,07","1.298,74","285.314,37"
314330205000325,"207,00","647,00","2,85","1.921,42","2.416.003,59"
314330205000327,"228,00","680,00","1,96","1.692,54","2.228.061,16"
314330205000328,"194,00","589,00","1,68","2.269,43","3.944.271,28"
314330205000330,"244,00","770,00","2,03","2.526,64","4.809.357,25"
314330205000331,"221,00","650,00","1,65","2.505,26","5.557.865,07"
314330205000334,"183,00","496,00","1,98","1.684,86","2.210.723,11"
314330205000335,"274,00","772,00","2,05","2.692,53","9.744.017,90"
314330205000337,"185,00","512,00","1,68","2.195,68","3.227.329,57"
314330205000338,"250,00","763,00","2,07","2.489,03","5.618.512,51"
314330205000340,"224,00","609,00","1,77","3.331,99","8.337.620,13"
314330205000342,"183,00","506,00","1,40","6.300,72","34.243.984,14"
314330205000345,"230,00","686,00","1,50","2.969,80","7.515.956,16"
314330205000346,"242,00","738,00","2,44","1.300,99","815.453,63"
314330205000347,"191,00","565,00","2,08","1.824,44","2.669.602,31"
314330205000348,"168,00","482,00","2,13","3.471,83","9.679.796,61"
314330205000349,"212,00","628,00","1,83","2.693,58","3.377.945,96"
314330205000350,"244,00","783,00","1,70","2.229,80","4.227.629,02"
314330205000351,"237,00","718,00","1,48","2.144,02","3.997.157,98"
314330205000352,"255,00","781,00","2,14","2.146,41","11.471.376,11"
314330205000353,"274,00","770,00","1,70","1.636,56","1.520.398,02"
314330205000354,"185,00","583,00","1,67","2.238,58","2.808.591,86"
314330205000355,"238,00","663,00","1,70","1.709,04","2.253.295,83"
314330205000356,"235,00","735,00","2,38","1.536,25","1.242.600,49"
314330205000359,"213,00","646,00","1,83","1.768,66","1.885.462,68"
314330205000360,"232,00","700,00","1,84","1.738,10","2.158.873,60"
314330205000362,"270,00","776,00","1,78","2.524,90","7.638.316,50"
